CharSelf    You really wish you would stop lagging.~
OtherSelf   $n is lagging again...whats new!~

SocialName  tfoot~
CharNoArg   You tap your foot.~
OtherNoArg  $n taps $s foot impatiently.~
CharFound   You look at $N and tap your foot.~
OtherFound  $n looks at $N and taps $s foot impatiently.~
VictFound   $n looks at $N and taps $s foot impatiently.~
CharNFound  They did not wait for you to tap your foot at them.~
CharSelf    You tap your foot impatiently.~
OtherSelf   $n taps $s foot impatiently.~

SocialName  calm~
CharNoArg   You subconciously tap your foot, trying to look calm and patient.~
OtherNoArg  $n smiles, trying to appear calm and patient.~
CharFound   You try your best to be patient with $N.~
OtherFound  $n tries $s best to be patient with $N.~
VictFound   $n tries $s hardest to be patient with you.~
CharNFound  You don't see that person here.~
CharSelf    none~
OtherSelf   none~

SocialName  kiss~
CharNoArg   Isn't there someone you want to kiss?~
OtherNoArg  none~
CharFound   You kiss $M.~
OtherFound  $n kisses $N.~
VictFound   $n kisses you.~
CharNFound  Never around when required.~
CharSelf    All the lonely people :(~
OtherSelf   none~

SocialName  think~
CharNoArg   You stare off into space, thinking deeply.~
OtherNoArg  $n stares off into empty space, obviously in thought.~
CharFound   You think about $N.~
OtherFound  $n gets a blank look on $s face; perhaps $e is thinking...~
VictFound   $n looks at you, obviously thinking about you.~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  salute~
CharNoArg   You salute no-one in particular.~
OtherNoArg  $n gets a hazy look in $s eyes as $e salutes no-one in particular.~
CharFound   You salute $N.~
OtherFound  $n shows $s respect by saluting $N.~
VictFound   With a strong, dedicated look on $s face, $n salutes you.~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  rhand~
CharNoArg   You raise your hand.~
OtherNoArg  $n raises $s hand.~
CharFound   You raise your hand, making sure $N notices.~
OtherFound  $n raises $s hand, trying to get seen by $N.~
VictFound   $n raises $s hand and waves it in front of your face!~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  bounce~
CharNoArg   BOIINNNNNNGG!~
OtherNoArg  $n bounces around.~
CharFound   You bounce onto $S lap.~
OtherFound  $n bounces onto $N's lap.~
VictFound   $n bounces onto your lap.~
CharNFound  You don't see your plaything.~
CharSelf    You bounce your head like a basketball.~
OtherSelf   $n plays basketball with $s head.~

SocialName  smile~
CharNoArg   You smile happily.~
OtherNoArg  $n smiles happily.~
CharFound   You smile at $M.~
OtherFound  $n beams a smile at $N.~
VictFound   $n smiles at you.~
CharNFound  There's no one by that name around.~
CharSelf    You smile at yourself.~
OtherSelf   $n smiles at $mself.~

SocialName  dance~
CharNoArg   Feels silly, doesn't it?~
OtherNoArg  $n dances wildly before you!~
CharFound   You lead $M to the dancefloor.~
OtherFound  $n sends $N across the dancefloor.~
VictFound   $n sends you across the dancefloor.~
CharNFound  Eh, WHO?~
CharSelf    You skip and dance around by yourself.~
OtherSelf   $n skips a light Fandango.~

SocialName  cackle~
CharNoArg   You cackle gleefully.~
OtherNoArg  $n throws back $s head and cackles with insane glee!~
CharFound   You cackle gleefully at $N~
OtherFound  $n cackles gleefully at $N.~
VictFound   $n cackles gleefully at you.  Better keep your distance from $m.~
CharNFound  You can't find a friend to cackle with.~
CharSelf    You cackle at yourself.  Now, THAT'S strange!~
OtherSelf   $n is really crazy now!  $e cackles at $mself.~

SocialName  tango~
CharNoArg   You dance the tango but discover you have no partner!~
OtherNoArg  $n jumps around the room, looking for someone to tango with.~
CharFound   With a broad smile on your face, you grab $N's arms and begin to tango!~
OtherFound  $n dances a seductive tango with $N.~
VictFound   $n takes your hands and begins to dance the tango with you!~
CharNFound  You can't find a friend to tango with.~
CharSelf    You tango with yourself.  Now, THAT'S strange!~
OtherSelf   $n is really crazy now!  $e begins to tango with $mself.~

SocialName  laugh~
CharNoArg   You fall down laughing.~
OtherNoArg  $n falls down laughing.~
CharFound   You laugh at $N mercilessly.~
OtherFound  $n laughs at $N mercilessly.~
VictFound   $n laughs at you mercilessly.  Hmmmmph.~
CharNFound  You can't find the butt of your joke.~
CharSelf    You laugh at yourself.  I would, too.~
OtherSelf   $n laughs at $mself.  Let's all join in!!!~

SocialName  giggle~
CharNoArg   You giggle.~
OtherNoArg  $n giggles.~
CharFound   You giggle in $S presence.~
OtherFound  $n giggles at $N's actions.~
VictFound   $n giggles at you.  Hope it's not contagious!~
CharNFound  You giggle by yourself, since you can't find a partner to giggle with.~
CharSelf    You giggle at yourself, which makes you giggle at yourself, which makes you ...~
OtherSelf   $n giggles at $mself.  $e must be nervous or something.~

SocialName  shake~
CharNoArg   You shake your head.~
OtherNoArg  $n shakes $s head.~
CharFound   You shake $S hand.~
OtherFound  $n shakes $N's hand.~
VictFound   $n shakes your hand.~
CharNFound  Sorry good buddy, but that person doesn't seem to be here.~
CharSelf    You are shaken by yourself.~
OtherSelf   $n shakes and quivers like a bowl full of jelly.~

SocialName  puke~
CharNoArg   You puke...chunks everywhere!!! YUK!~
OtherNoArg  $n pukes.~
CharFound   You puke on $M.~
OtherFound  $n pukes on $N.~
VictFound   $n spews vomit and pukes all over your clothing!~
CharNFound  Once again?~
CharSelf    You puke on yourself.~
OtherSelf   $n pukes on $s clothes.~

SocialName  growl~
CharNoArg   Grrrrrrrrrr...~
OtherNoArg  $n growls.~
CharFound   Grrrrrrrrrr....take that, $N!!!~
OtherFound  $n growls at $N.  Better leave the room before the fighting starts.~
VictFound   $n growls at you.  Hey, two can play it that way!~
CharNFound  No one can see you growl that far.~
CharSelf    You growl at yourself.  Boy, do you feel bitter!~
OtherSelf   $n growls at $mself.  This could get interesting...~

SocialName  scream~
CharNoArg   ARRRRRRRRRRGH!!!!!~
OtherNoArg  $n screams loudly!~
CharFound   ARRRRRRRRRRGH!!!!!  Yes, it MUST have been $S fault!!!~
OtherFound  $n screams loudly at $N.  Better leave before $n blames you, too!!!~
VictFound   $n screams at you!  That's not nice!  *sniff*~
CharNFound  Your lungs can't reach that far!~
CharSelf    You scream at yourself.  Yes, that's ONE way of relieving tension!~
OtherSelf   $n screams loudly at $mself!  Is there a full moon up?~

SocialName  comfort~
CharNoArg   Do you feel uncomfortable?~
OtherNoArg  none~
CharFound   You comfort $M.~
OtherFound  $n comforts $N.~
VictFound   $n comforts you.~
CharNFound  Comfort who?~
CharSelf    You make a vain attempt to comfort yourself.~
OtherSelf   $n has no one to comfort $m but $mself~

SocialName  sigh~
CharNoArg   You sigh.~
OtherNoArg  $n sighs.~
CharFound   You sigh as you think of $M.~
OtherFound  $n sighs at the sight of $N.~
VictFound   $n sighs as $e thinks of you.  Touching, huh?~
CharNFound  You really sigh, since you don't see your friend.~
CharSelf    You sigh at yourself.  You MUST be lonely.~
OtherSelf   $n sighs at $mself.  What a sorry sight.~

SocialName  sulk~
CharNoArg   You sulk.~
OtherNoArg  $n sulks in the corner.~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  hug~
CharNoArg   Hug who?~
OtherNoArg  none~
CharFound   You hug $M.~
OtherFound  $n hugs $N.~
VictFound   $n hugs you.~
CharNFound  Sorry, friend, I can't see that person here.~
CharSelf    You hug yourself.~
OtherSelf   $n hugs $mself in a vain attempt to get friendship.~

SocialName  snuggle~
CharNoArg   Who?~
OtherNoArg  none~
CharFound   You snuggle $M.~
OtherFound  $n snuggles up to $N.~
VictFound   $n snuggles up to you.~
CharNFound  They aren't here.~
CharSelf    You snuggle up, getting ready to sleep.~
OtherSelf   $n snuggles up, getting ready to sleep.~

SocialName  cuddle~
CharNoArg   Who do you feel like cuddling today?~
OtherNoArg  none~
CharFound   You cuddle $M.~
OtherFound  $n cuddles $N.~
VictFound   $n cuddles you.~
CharNFound  They aren't here.~
CharSelf    You must feel very cuddly indeed ... :)~
OtherSelf   $n cuddles up to $s shadow.  What a sorry sight.~

SocialName  nuzzle~
CharNoArg   Nuzzle who??~
OtherNoArg  none~
CharFound   You nuzzle $S neck softly.~
OtherFound  $n softly nuzzles $N's neck.~
VictFound   $n softly nuzzles your neck.~
CharNFound  No.. they aren't here..~
CharSelf    I'm sorry, friend, but that's impossible.~
OtherSelf   none~

SocialName  cry~
CharNoArg   Waaaaah..~
OtherNoArg  $n bursts into tears.~
CharFound   You cry on $S shoulder.~
OtherFound  $n cries on $N's shoulder.~
VictFound   $n cries on your shoulder.~
CharNFound  Who's that?~
CharSelf    You cry to yourself.~
OtherSelf   $n sobs quietly to $mself.~

SocialName  poke~
CharNoArg   Poke who??~
OtherNoArg  none~
CharFound   You poke $M in the ribs.~
OtherFound  $n pokes $N in the ribs.~
VictFound   $n pokes you in the ribs.~
CharNFound  You can't poke someone who's not here!.~
CharSelf    You poke yourself in the ribs, feeling very silly.~
OtherSelf   $n pokes $mself in the ribs, looking very sheepish.~

SocialName  accuse~
CharNoArg   Accuse who??~
OtherNoArg  $n is in an accusing mood.~
CharFound   You look accusingly at $M.~
OtherFound  $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharNFound  Accuse somebody who's not even there ??~
CharSelf    You accuse yourself.~
OtherSelf   $n seems to have a bad conscience.~

SocialName  grin~
CharNoArg   You grin evilly.~
OtherNoArg  $n grins evilly.~
CharFound   You grin evilly at $M.~
OtherFound  $n grins evilly at $N.~
VictFound   $n grins evilly at you.  Hmmm.  Better keep your distance.~
CharNFound  You must be delirious.~
CharSelf    You grin at youself.  You must be getting very bad thoughts.~
OtherSelf   $n grins at $mself.  You must wonder what's in $s mind.~

SocialName  bow~
CharNoArg   You bow deeply.~
OtherNoArg  $n bows deeply.~
CharFound   You bow before $M.~
OtherFound  $n bows before $N.~
VictFound   $n bows before you.~
CharNFound  Who's that?~
CharSelf    You kiss your toes.~
OtherSelf   $n folds up like a jacknife and kisses $s own toes.~

SocialName  applaud~
CharNoArg   You give a round of applause.~
OtherNoArg  $n gives a round of applause.~
CharFound   You applaud for $N.~
OtherFound  $n applauds and cheers for $N.~
VictFound   $n gives you a round of applause.~
CharNFound  You give your imaginary round of applause to your imaginary friend.~
CharSelf    You applaud at yourself.  Boy, are we conceited!~
OtherSelf   $n applauds at $mself.  Boy, are we conceited!~

SocialName  blush~
CharNoArg   Your cheeks are burning.~
OtherNoArg  $n blushes.~
CharFound   You get all flustered up seeing $M.~
OtherFound  $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.  Such an effect on people!~
CharNFound  You blush as you notice that person isn't here.~
CharSelf    You blush at your own folly.~
OtherSelf   $n blushes as $e notices $s boo-boo.~

SocialName  burp~
CharNoArg   You burp loudly.~
OtherNoArg  $n burps loudly.~
CharFound   You burp loudly to $M in response.~
OtherFound  $n burps loudly in response to $N's remark.~
VictFound   $n burps loudly in response to your remark.~
CharNFound  You can't find your victim.~
CharSelf    You burp at yourself.~
OtherSelf   $n burps at $mself.  What a sick sight.~

SocialName  chuckle~
CharNoArg   You chuckle politely.~
OtherNoArg  $n chuckles politely.~
CharFound   You chuckle at $S joke.~
OtherFound  $n chuckles at $N's joke.~
VictFound   $n chuckles at your joke.~
CharNFound  You can't find a friend to chuckle with.~
CharSelf    You chuckle at your own joke, since no one else would.~
OtherSelf   $n chuckles at $s own joke, since none of you would.~

SocialName  clap~
CharNoArg   You clap your hands together.~
OtherNoArg  $n shows $s approval by clapping $s hands together.~
CharFound   You clap at $S performance.~
OtherFound  $n claps at $N's performance.~
VictFound   $n claps at your performance.~
CharNFound  You clap for nothing.~
CharSelf    You clap at your own performance.~
OtherSelf   $n claps at $s own performance.~

SocialName  cough~
CharNoArg   Yuck, try to cover your mouth next time!~
OtherNoArg  $n coughs loudly.~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  curtsey~
CharNoArg   You curtsey to your audience.~
OtherNoArg  $n curtseys gracefully.~
CharFound   You curtsey to $M.~
OtherFound  $n curtseys gracefully to $N.~
VictFound   $n curtseys gracefully for you.~
CharNFound  You curtsey to no one in particular.~
CharSelf    You curtsey to your audience (yourself).~
OtherSelf   $n curtseys to $mself, since no one is paying attention to $m.~

SocialName  fart~
CharNoArg   Where are your manners ?~
OtherNoArg  $n lets off a real rip-roarer ... a greenish cloud envelops $n!~
CharFound   You fart at $M.  Boy, you are sick.~
OtherFound  $n farts in the direction of $N.  Better flee before $e turns to you!~
VictFound   $n farts in your direction.  You gasp for air.~
CharNFound  You can't hold it that long!~
CharSelf    You fart at yourself.  You deserve it.~
OtherSelf   $n farts at $mself.  Better $m than you.~

SocialName  flip~
CharNoArg   You flip head over heels.~
OtherNoArg  $n flips head over heels.~
CharFound   You flip $M over your shoulder.~
OtherFound  $n flips $N over $s shoulder.~
VictFound   $n flips you over $s shoulder.  Hmmmm.~
CharNFound  You can't find the person.~
CharSelf    You tumble all over the room.~
OtherSelf   $n does some nice tumbling and gymnastics.~

SocialName  fondle~
CharNoArg   Who needs to be fondled ?~
OtherNoArg  none~
CharFound   You fondly fondle $M.~
OtherFound  $n fondly fondles $N.~
VictFound   $n fondly fondles you.~
CharNFound  You fondly try to fondle someone not in the room, but who cares.~
CharSelf    You fondly fondle yourself, feels funny doesn't it?~
OtherSelf   $n fondly fondles $mself - this is going too far!!~

SocialName  frown~
CharNoArg   What's bothering you ?~
OtherNoArg  $n frowns.~
CharFound   You frown at what $E did.~
OtherFound  $n frowns at what $E did.~
VictFound   $n frowns at what you did.~
CharNFound  You don't see any reason to frown.~
CharSelf    You frown at yourself.  Poor baby.~
OtherSelf   $n frowns at $mself.  What a sad puppy....~

SocialName  gasp~
CharNoArg   You gasp in astonishment.~
OtherNoArg  $n gasps in astonishment.~
CharFound   You gasp as you realize what $E did.~
OtherFound  $n gasps as $e realizes what $N did.~
VictFound   $n gasps as $e realizes what you did.~
CharNFound  You need to panic.~
CharSelf    You look at yourself and gasp!~
OtherSelf   $n takes one look at $mself and gasps in astonisment!~

SocialName  glare~
CharNoArg   You glare at nothing in particular.~
OtherNoArg  $n glares around $m.~
CharFound   You glare icily at $M.~
OtherFound  $n glares at $N.~
VictFound   $n glares icily at you, you feel cold to your bones.~
CharNFound  You try to glare at somebody who is not present.~
CharSelf    You glare icily at your feet, they are suddenly very cold.~
OtherSelf   $n glares at $s feet, what is bothering $m?~

SocialName  groan~
CharNoArg   You groan loudly.~
OtherNoArg  $n groans loudly.~
CharFound   You groan at the sight of $M.~
OtherFound  $n groans at the sight of $N.~
VictFound   $n groans at the sight of you.~
CharNFound  You see no reason to groan.~
CharSelf    You groan as you realize what you have done.~
OtherSelf   $n groans as $e realizes what $e has done.~

SocialName  grope~
CharNoArg   Whom do you wish to grope ??~
OtherNoArg  none~
CharFound   Well, what sort of noise do you expect here?~
OtherFound  $n gropes $N.~
VictFound   $n gropes you.~
CharNFound  Try someone who's here.~
CharSelf    You grope yourself - YUCK.~
OtherSelf   $n gropes $mself - YUCK.~

SocialName  lick~
CharNoArg   You lick your lips and smile.~
OtherNoArg  $n licks $s lips and smiles.~
CharFound   You lick $M.~
OtherFound  $n licks $N.~
VictFound   $n licks you.~
CharNFound  Lick away, nobody's here with that name.~
CharSelf    You lick yourself.~
OtherSelf   $n licks $mself - YUCK.~

SocialName  love~
CharNoArg   You love the whole world.~
OtherNoArg  $n loves everybody in the world.~
CharFound   You tell your true feelings to $N.~
OtherFound  $n whispers softly to $N.~
VictFound   $n whispers to you sweet words of love.~
CharNFound  Alas, your love is not present...~
CharSelf    Well, we already know you love yourself (lucky someone does !)~
OtherSelf   $n loves $mself, can you believe it ?~

SocialName  moan~
CharNoArg   You start to moan.~
OtherNoArg  $n starts moaning.~
CharFound   You start to moan over what $N is doing.~
OtherFound  $n moans over what $N is doing.~
VictFound   $n moans at the sight of you.  Hmmmm.~
CharNFound  You moan for the loss of them.~
CharSelf    You moan at yourself.~
OtherSelf   $n makes $mself moan.~

SocialName  nibble~
CharNoArg   Nibble on who ?~
OtherNoArg  none~
CharFound   You nibble on $N's ear.~
OtherFound  $n nibbles on $N's ear.~
VictFound   $n nibbles on your ear.~
CharNFound  Sorry, not present.~
CharSelf    You nibble on your OWN ear ???????????????????~
OtherSelf   $n nibbles on $s OWN ear (I wonder how it is done !!).~

SocialName  pout~
CharNoArg   Ah, don't take it so hard.~
OtherNoArg  $n pouts.~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  ruffle~
CharNoArg   You've got to ruffle SOMEONE.~
OtherNoArg  none~
CharFound   You ruffle $N's hair playfully.~
OtherFound  $n ruffles $N's hair playfully.~
VictFound   $n ruffles your hair playfully.~
CharNFound  Might be a bit difficult.~
CharSelf    You ruffle your hair, wondering how far you can go before the rest think you're crazy.~
OtherSelf   $n ruffles $s hair - weirdo!~

SocialName  shiver~
CharNoArg   Brrrrrrrrr.~
OtherNoArg  $n shivers uncomfortably.~
CharFound   You shiver at the thought of fighting $M.~
OtherFound  $n shivers at the thought of fighting $N.~
VictFound   $n shivers at the suicidal thought of fighting you.~
CharNFound  You don't see any reason to shiver.~
CharSelf    You shiver to yourself?~
OtherSelf   $n scares $mself to shivers.~

SocialName  shrug~
CharNoArg   You shrug.~
OtherNoArg  $n shrugs helplessly.~
CharFound   You shrug in response to $s question.~
OtherFound  $n shrugs in response to $N's question.~
VictFound   $n shrugs in response to your question.~
CharNFound  You shrug to no one in particular.~
CharSelf    You shrug to yourself.~
OtherSelf   $n shrugs to $mself.  What a strange person.~

SocialName  slap~
CharNoArg   What is the sound of one hand slapping?~
OtherNoArg  none~
CharFound   You slap $N.~
OtherFound  $n slaps $N.~
VictFound   You are slapped by $n.~
CharNFound  How about slapping someone in the same room as you ??~
CharSelf    You slap yourself, silly you.~
OtherSelf   $n slaps $mself, really strange ...~

SocialName  smirk~
CharNoArg   You smirk.~
OtherNoArg  $n smirks.~
CharFound   You smirk at $S saying.~
OtherFound  $n smirks at $N's saying.~
VictFound   $n smirks at your saying.~
CharNFound  You want to smirk to whom?~
CharSelf    You smirk at yourself.  Okay.....~
OtherSelf   $n smirks at $s own 'wisdom'.~

SocialName  snap~
CharNoArg   PRONTO ! You snap your fingers.~
OtherNoArg  $n snaps $s fingers.~
CharFound   You snap back at $M.~
OtherFound  $n snaps back at $N.~
VictFound   $n snaps back at you!~
CharNFound  You must be very agitated.~
CharSelf    You snap yourself to attention.~
OtherSelf   $n snaps $mself to attention.~

SocialName  sneeze~
CharNoArg   Gesundheit !~
OtherNoArg  $n sneezes.~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  snicker~
CharNoArg   You snicker softly.~
OtherNoArg  $n snickers softly.~
CharFound   You snicker with $M about your shared secret.~
OtherFound  $n snickers with $N about their shared secret.~
VictFound   $n snickers with you about your shared secret.~
CharNFound  Huh?~
CharSelf    You snicker at your own evil thoughts.~
OtherSelf   $n snickers at $s own evil thoughts.~

SocialName  sniff~
CharNoArg   You sniff sadly. *SNIFF*~
OtherNoArg  $n sniffs sadly.~
CharFound   You sniff sadly at the way $E is treating you.~
OtherFound  $n sniffs sadly at the way $N is treating $m.~
VictFound   $n sniffs sadly at the way you are treating $m.~
CharNFound  You see no reason to sniff.~
CharSelf    You sniff sadly at your lost opportunities.~
OtherSelf   $n sniffs sadly at $mself.  Something MUST be bothering $m.~

SocialName  snore~
CharNoArg   Zzzzzzzzzzzzzzzzz.~
OtherNoArg  $n snores loudly.~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  squeeze~
CharNoArg   Where, what, how, WHO ???~
OtherNoArg  none~
CharFound   You squeeze $M fondly.~
OtherFound  $n squeezes $N fondly.~
VictFound   $n squeezes you fondly.~
CharNFound  Where, what, how, WHO ???~
CharSelf    You squeeze yourself - try to relax a little!~
OtherSelf   $n squeezes $mself.~

SocialName  stare~
CharNoArg   You stare at the sky.~
OtherNoArg  $n stares at the sky.~
CharFound   You stare dreamily at $N, completely lost in $S eyes..~
OtherFound  $n stares dreamily at $N.~
VictFound   $n stares dreamily at you, completely lost in your eyes.~
CharNFound  You stare and stare but can't see that person anywhere...~
CharSelf    You stare dreamily at yourself - enough narcissism for now.~
OtherSelf   $n stares dreamily at $mself - NARCISSIST!~

SocialName  strut~
CharNoArg   Strut your stuff.~
OtherNoArg  $n struts proudly.~
CharFound   You strut to get $S attention.~
OtherFound  $n struts, hoping to get $N's attention.~
VictFound   $n struts, hoping to get your attention.~
CharNFound  You don't see an audience.~
CharSelf    You strut to yourself, lost in your own world.~
OtherSelf   $n struts to $mself, lost in $s own world.~

SocialName  thank~
CharNoArg   Thank you too.~
OtherNoArg  none~
CharFound   You thank $N heartily.~
OtherFound  $n thanks $N heartily.~
VictFound   $n thanks you heartily.~
